Name,Gender,Study_Hours,Attendance,Internal_Marks,External_Marks,Final_Result
Student_251,Female,7.8,69,24,39,Fail
Student_252,Female,4.7,73,17,72,Pass
Student_253,Male,6.9,93,14,34,Fail
Student_254,Female,7.9,96,12,44,Fail
Student_255,Male,6.8,54,21,47,Fail
Student_256,Male,4.7,67,18,29,Fail
Student_257,Male,4.8,58,24,41,Fail
Student_258,Female,2.1,94,13,39,Fail
Student_259,Male,3.0,69,23,40,Fail
Student_260,Male,7.5,82,16,64,Pass
Student_261,Female,8.7,95,21,62,Pass
Student_262,Male,3.8,89,14,30,Fail
Student_263,Female,3.0,86,10,62,Fail
Student_264,Female,4.7,87,22,69,Pass
Student_265,Male,4.4,53,23,32,Fail
Student_266,Female,4.4,83,12,22,Fail
Student_267,Female,5.3,96,11,22,Fail
Student_268,Male,2.1,93,13,38,Fail
Student_269,Male,4.8,73,14,38,Fail
Student_270,Female,2.8,78,24,41,Fail
Student_271,Female,3.5,63,21,58,Fail
Student_272,Male,4.7,60,22,50,Fail
Student_273,Male,3.6,50,12,21,Fail
Student_274,Male,7.0,50,20,65,Fail
Student_275,Female,10.0,81,11,36,Fail
Student_276,Male,5.1,99,20,65,Pass
Student_277,Male,5.4,57,23,42,Fail
Student_278,Male,7.2,69,11,55,Fail
Student_279,Female,5.8,55,14,73,Fail
Student_280,Female,4.5,76,22,55,Fail
Student_281,Female,3.5,92,23,43,Fail
Student_282,Female,4.9,52,23,46,Fail
Student_283,Female,3.9,99,13,31,Fail
Student_284,Female,6.3,91,15,32,Fail
Student_285,Female,6.8,62,11,31,Fail
Student_286,Female,6.4,52,21,51,Fail
Student_287,Male,7.7,80,21,64,Pass
Student_288,Male,6.5,74,12,48,Fail
Student_289,Female,3.7,73,14,37,Fail
Student_290,Male,7.0,63,22,39,Fail
Student_291,Male,3.5,50,22,53,Fail
Student_292,Male,5.5,51,17,61,Fail
Student_293,Male,5.4,93,19,23,Fail
Student_294,Female,4.7,72,22,33,Fail
Student_295,Male,6.2,97,18,54,Fail
Student_296,Male,4.9,83,14,29,Fail
Student_297,Male,8.0,57,12,42,Fail
Student_298,Female,4.9,79,25,35,Fail
Student_299,Male,4.0,84,10,31,Fail
Student_300,Female,1.2,65,20,65,Pass
